Numer RSPO,Identyfikator typu szkoły / placówki,Typ szkoły / placówki,Nazwa szkoły / placówki,Regon,Etat - umowa,Etat - godziny ponadwymiarowe,Etat niesubwencyjny - formy zatrudnienia inne niż KN,Etat niesubwencyjny - nieobecności,Etat subwencyjny - ogółem,Etat subwencyjny - bez stopnia awansu,Etat subwencyjny - mianowany,Etat subwencyjny - dyplomowany,Etat niesubwencyjny - ogółem,Typ organu rejestrującego,Organ rejestrujący,Część miejska,Typ organu prowadzącego,Organ prowadzący,Wojewodztwo,Powiat,Gmina,Typ gminy,Miejscowość,Ulica,Nr domu,Nr lokalu,Kod pocztowy,Poczta,Telefon,e-Mail,Specyfika szkoły,Kategoria uczniów,Publiczność
29129,1,Przedszkole,"PRZEDSZKOLE MIEJSKIE NR 17 W KUTNIE ""NIEZAPOMINAJKA""",610024853,"  29,07","  2,93","  0,00","  1,00","  8,69","  2,91","  2,37","  3,41","  20,38",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Józefa Wybickiego,1,,99-300,Kutno,242535414,pmnr17@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna
29454,1,Przedszkole,"PRZEDSZKOLE MIEJSKIE NR 16 ""CALINECZKA"" W KUTNIE",610024847,"  18,79","  0,73","  0,00","  0,00","  5,46","  2,18","  0,06","  3,22","  13,33",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Wilcza,5,,99-300,Kutno,242540816,pm16@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna
30989,1,Przedszkole,"PRZEDSZKOLE MIEJSKIE NR 15 ""BAJKA""",610024830,"  21,64","  1,31","  0,00","  0,00","  7,58","  2,10","  2,98","  2,50","  14,06",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Władysława Jagiełły,4a,,99-300,Kutno,242536110,pm15@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna
31184,1,Przedszkole,"PRZEDSZKOLE MIEJSKIE NR 5 ""STOKROTKA""",610169994,"  10,47","  0,08","  0,00","  0,00","  2,21","  0,77","  0,53","  0,91","  8,26",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Barcewicza,13,,99-300,Kutno,242547762,pm5@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna
31284,1,Przedszkole,"PRZEDSZKOLE MIEJSKIE NR 8 ""PROMYCZEK""",610024818,"  14,71","  0,78","  0,00","  0,00","  4,42","  0,49","  1,23","  2,70","  10,29",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. dr. Antoniego Troczewskiego,2a,,99-300,Kutno,242537992,pm8@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna
31427,1,Przedszkole,"INTEGRACYJNE PRZEDSZKOLE MIEJSKIE NR 3 W KUTNIE ""JARZĘBINKA""",610024764,"  28,09","  3,10","  0,00","  1,00","  9,50","  4,31","  1,75","  3,44","  18,59",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Generała Bema,15,,99-300,Kutno,242547943,ipm3@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna
31717,3,Szkoła podstawowa,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,000903297,"  29,91","  4,31","  0,00","  0,00","  29,91","  6,50","  8,61","  14,80","  0,00",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Konduktorska,13,,99-300,Kutno,242533072,sp5@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna
31727,3,Szkoła podstawowa,SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE,000903280,"  43,97","  7,29","  0,00","  0,00","  43,97","  4,61","  17,87","  21,49","  0,00",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Łąkoszyńska,9,,99-300,Kutno,242533911,sp6@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna
31729,3,Szkoła podstawowa,SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE,000903305,"  25,43","  4,94","  0,00","  0,00","  25,43","  1,95","  8,78","  14,70","  0,00",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Narutowicza,22,,99-300,Kutno,242533967,sp4@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna
34265,3,Szkoła podstawowa,SZKOŁA PODSTAWOWA NR 9 IM.WŁ.JAGIEŁŁY W KUTNIE,001070630,"  66,71","  16,92","  0,00","  2,00","  64,71","  8,56","  8,55","  47,60","  2,00",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Władysława Jagiełły,6,,99-301,Kutno,242536368,sp9@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna
34266,3,Szkoła podstawowa,SZKOŁA PODSTAWOWA NR 1 IM.TADEUSZA KOŚCIUSZKI W KUTNIE,000903334,"  92,66","  14,91","  0,00","  5,00","  87,66","  10,00","  25,33","  52,33","  5,00",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Kanclerza Andrzeja Zamoyskiego,1,,99-300,Kutno,242547072,sp1kutno@poczta.onet.pl,brak specyfiki,Dzieci lub młodzież,publiczna
128307,81,Punkt przedszkolny,PUNKT PRZEDSZKOLNY NR 1 W KUTNIE,362231271,"  2,32","  0,00","  0,00","  0,00","  2,53","  0,09","  1,35","  1,09","-  0,21",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Narutowicza,22,,99-300,Kutno,242533967,pp1@edu.kutno.pl,brak specyfiki,Dzieci lub młodzież,publiczna
128308,81,Punkt przedszkolny,PUNKT PRZEDSZKOLNY NR 2 W KUTNIE,362231288,"  2,41","  0,08","  0,00","  0,00","  2,39","  0,25","  1,09","  1,05","  0,02",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Łąkoszyńska,9,,99-300,Kutno,242533911,spnr_6@gazeta.pl,brak specyfiki,Dzieci lub młodzież,publiczna
128310,81,Punkt przedszkolny,PUNKT PRZEDSZKOLNY NR 3 W KUTNIE,362231294,"  1,86","  0,00","  0,00","  0,00","  1,42","  0,11","  1,25","  0,06","  0,44",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Konduktorska,13,,99-300,Kutno,242533072,sp5kutno@wp.pl,brak specyfiki,Dzieci lub młodzież,publiczna
263961,3,Szkoła podstawowa,SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,368245067,"  30,51","  3,43","  0,00","  0,00","  30,51","  5,00","  3,83","  21,68","  0,00",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. Staszica,6,,99-300,Kutno,243551577,sp2kutno@tlen.pl,brak specyfiki,Dzieci lub młodzież,publiczna
263969,3,Szkoła podstawowa,SZKOŁA PODSTAWOWA NR 7 IM. ADAMA MICKIEWICZA,368246055,"  32,17","  3,50","  0,00","  0,00","  32,17","  4,00","  8,95","  19,22","  0,00",Gmina,MIASTO KUTNO,,Gmina,MIASTO KUTNO,ŁÓDZKIE,kutnowski,Kutno,M,Kutno,ul. dr. Antoniego Troczewskiego,2,,99-300,Kutno,243554461,sp7kutno@onet.pl,brak specyfiki,Dzieci lub młodzież,publiczna
