ZO,Nazwa,WK,GK,Paragraf,PT,NZ,Regon,Typ,GT,NP,P4,PL,Grupa,NO,WW,Dzial,DW,Rozdzial,PK,NA,ZA
,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,069,0,,000903297,JB,1,,0,1500.00,,,,801,72.00,80101,02,72.00,
,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,075,0,,000903297,JB,1,,0,35000.00,,,,801,6659.81,80101,02,6659.81,
,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,092,0,,000903297,JB,1,,0,2000.00,,,,801,1303.44,80101,02,1303.44,
,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,083,0,,000903297,JB,1,,0,120000.00,,406.00,,801,101466.00,80148,02,101872.00,
,SZKOŁA PODSTAWOWA NR 5 IM. HENRYKA SIENKIEWICZA,10,01,097,0,,000903297,JB,1,,0,7000.00,,406.00,,801,3468.00,80148,02,3468.00,
,SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE,10,01,069,0,,000903305,JB,1,,0,50.00,,,,801,62.00,80101,02,62.00,
,SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE,10,01,075,0,280.49,000903305,JB,1,,0,1000.00,,280.49,,801,3616.18,80101,02,3896.67,
,SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE,10,01,092,0,27.17,000903305,JB,1,,0,1500.00,,27.17,,801,2098.16,80101,02,2125.33,
,SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE,10,01,097,0,27.17,000903305,JB,1,,0,450.00,,27.17,,801,516.00,80101,02,516.00,
,SZKOŁA PODSTAWOWA NR 4 IM. MIKOŁAJA KOPERNIKA W KUTNIE,10,01,083,0,27.17,000903305,JB,1,142.00,0,113000.00,,27.17,,801,62043.00,80148,02,61901.00,
,SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,10,01,069,0,,368245067,JB,1,,0,200.00,,,,801,18.00,80101,02,18.00,
,SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,10,01,075,0,,368245067,JB,1,,0,9000.00,,,,801,5847.90,80101,02,5847.90,
,SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,10,01,092,0,,368245067,JB,1,,0,5000.00,,,,801,1950.15,80101,02,1950.15,
,SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,10,01,097,0,,368245067,JB,1,,0,1500.00,,,,801,680.25,80101,02,680.25,
,SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,10,01,083,0,,368245067,JB,1,,0,230000.00,,,,801,150127.00,80148,02,150127.00,
,SZKOŁA PODSTAWOWA NR 2 IM. MARSZAŁKA JÓZEFA PIŁSUDSKIEGO,10,01,097,0,,368245067,JB,1,,0,4000.00,,,,801,700.00,80148,02,700.00,
,SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE,10,01,069,0,,000903280,JB,1,,0,400.00,,,,801,134.00,80101,02,134.00,
,SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE,10,01,075,0,1680.00,000903280,JB,1,,0,12000.00,,1680.00,,801,8632.50,80101,02,10312.50,
,SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE,10,01,092,0,80.63,000903280,JB,1,,0,6000.00,,80.63,,801,2333.21,80101,02,2413.84,
,SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE,10,01,097,0,80.63,000903280,JB,1,,0,500.00,,80.63,,801,2333.21,80101,02,2413.84,
,SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE,10,01,083,0,80.63,000903280,JB,1,,0,190000.00,,1048.00,,801,145337.00,80148,02,146385.00,
,SZKOŁA PODSTAWOWA NR 6 IM. MARII SKŁODOWSKIEJ - CURIE W KUTNIE,10,01,097,0,80.63,000903280,JB,1,,0,5000.00,,1048.00,,801,607.00,80148,02,607.00,
