Kategoria uczniów,Uczniowie,Waga,Uczniowie przelicz.,Kwota razem w zł,Kategoria uczniów (cleared),Kategoria uczniów (shortcut)
1. Sa - Ucz. stat. szk. publ./niepubl. - młodzież [2],"3 209,08","1,00","3 187,702500785","19 385 445,03",Sa - Ucz. stat. szk. publ./niepubl. - młodzież [2],Sa
2. Sb - Ucz. statyst. szkół publicznych - dor. stac. [3],"0,00","0,70","0,00","0,00",Sb - Ucz. statyst. szkół publicznych - dor. stac. [3],Sb
3. Sc - Ucz. statyst. szkół niepublicznych - dor. stac.,"0,00","0,35","0,00","0,00",Sc - Ucz. statyst. szkół niepublicznych - dor. stac.,Sc
4. Sd - Ucz. statyst. szkół publicznych - dor. zao.,"0,00","0,42","0,00","0,00",Sd - Ucz. statyst. szkół publicznych - dor. zao.,Sd
5. Se - Ucz. statyst. szkół niepublicznych - dor. zao.,"0,00","0,18","0,00","0,00",Se - Ucz. statyst. szkół niepublicznych - dor. zao.,Se
6. Sf - Ucz. naucz.dom. i poza szk.,"2,00","0,80","1,59","9 665,30",Sf - Ucz. naucz.dom. i poza szk.,Sf
7. Sg - Ucz. niepublicznych szk. polic. - dor. zao.,"0,00","0,07","0,00","0,00",Sg - Ucz. niepublicznych szk. polic. - dor. zao.,Sg
8. Sh - Ucz. niepublicznych LO - dor. zao.,"0,00","0,12","0,00","0,00",Sh - Ucz. niepublicznych LO - dor. zao.,Sh
9. Si - Ucz. pub. LO dla dor. i szk. polic. dla dor. zaocz.,"0,00","0,30","0,00","0,00",Si - Ucz. pub. LO dla dor. i szk. polic. dla dor. zaocz.,Si
10. Sj - Ucz. niepub. LO dla dor. i szk. polic. dla dor. stac.,"0,00","0,22","0,00","0,00",Sj - Ucz. niepub. LO dla dor. i szk. polic. dla dor. stac.,Sj
11. Sk - Ucz. pub. szk. polic. dla dzieci i młodzieży,"0,00","0,81","0,00","0,00",Sk - Ucz. pub. szk. polic. dla dzieci i młodzieży,Sk
12. Sl - Ucz. niepub. szk. polic. dla dzieci i młodz.,"0,00","0,39","0,00","0,00",Sl - Ucz. niepub. szk. polic. dla dzieci i młodz.,Sl
13. Sm - Ucz. BSII pub. npub. dzienne,"0,00","0,52","0,00","0,00",Sm - Ucz. BSII pub. npub. dzienne,Sm
14. Sn - Ucz. BSII pub. zaoczne,"0,00","0,21","0,00","0,00",Sn - Ucz. BSII pub. zaoczne,Sn
15. So - Ucz. BSII npub. zaoczne,"0,00","0,10","0,00","0,00",So - Ucz. BSII npub. zaoczne,So
"16. Sp - Ucz. LO, szk. polic. dor. stac. pub.","0,00","0,54","0,00","0,00","Sp - Ucz. LO, szk. polic. dor. stac. pub.",Sp
