ZO,Nazwa,WK,GK,Paragraf,PT,NZ,Regon,Typ,GT,NP,P4,PL,Grupa,NO,WW,Dzial,DW,Rozdzial,PK,NA,ZA
,Szkoła Podstawowa Nr 7,10,01,302,0,,001070630,JB,1,,0,10280.00,1300,,9803.89,801,,80101,02,,9803.89
14231.58,Szkoła Podstawowa Nr 7,10,01,401,0,,001070630,JB,1,,0,674540.00,1400,,658989.84,801,,80101,02,,673221.42
48701.67,Szkoła Podstawowa Nr 7,10,01,404,0,,001070630,JB,1,,0,48295.00,1400,,48276.23,801,,80101,02,,48276.23
68617.59,Szkoła Podstawowa Nr 7,10,01,411,0,,001070630,JB,1,,0,475031.00,1400,,435647.68,801,,80101,02,,471238.45
7730.56,Szkoła Podstawowa Nr 7,10,01,412,0,,001070630,JB,1,,0,49145.00,1400,,43456.56,801,,80101,02,,47858.82
124.00,Szkoła Podstawowa Nr 7,10,01,417,0,,001070630,JB,1,,0,12700.00,1400,,10154.20,801,,80101,02,,10278.20
124.00,Szkoła Podstawowa Nr 7,10,01,421,0,,001070630,JB,1,,0,59404.00,1100,,59404.00,801,,80101,02,,59404.00
124.00,Szkoła Podstawowa Nr 7,10,01,424,0,,001070630,JB,1,,0,10490.00,1100,,10489.38,801,,80101,02,,10489.38
44747.59,Szkoła Podstawowa Nr 7,10,01,426,0,,001070630,JB,1,,0,235000.00,1100,,187179.20,801,,80101,02,,231926.79
307.50,Szkoła Podstawowa Nr 7,10,01,427,0,,001070630,JB,1,,0,23000.00,1100,,20359.79,801,,80101,02,,20667.29
307.50,Szkoła Podstawowa Nr 7,10,01,428,0,,001070630,JB,1,,0,5000.00,1100,,4295.00,801,,80101,02,,4295.00
307.50,Szkoła Podstawowa Nr 7,10,01,430,0,,001070630,JB,1,,0,51260.00,1100,,50622.57,801,,80101,02,,50622.57
307.50,Szkoła Podstawowa Nr 7,10,01,436,0,,001070630,JB,1,,0,2620.00,1100,,1774.62,801,,80101,02,,1774.62
307.50,Szkoła Podstawowa Nr 7,10,01,441,0,,001070630,JB,1,,0,2100.00,1100,,99.00,801,,80101,02,,99.00
307.50,Szkoła Podstawowa Nr 7,10,01,444,0,,001070630,JB,1,,0,184388.00,1100,,184388.00,801,,80101,02,,184388.00
307.50,Szkoła Podstawowa Nr 7,10,01,448,0,,001070630,JB,1,,0,310.00,1100,,184388.00,801,,80101,02,,184388.00
307.50,Szkoła Podstawowa Nr 7,10,01,470,0,,001070630,JB,1,,0,4190.00,1100,,2117.00,801,,80101,02,,2117.00
53339.64,Szkoła Podstawowa Nr 7,10,01,479,0,,001070630,JB,1,,0,1870338.00,1400,,1816704.04,801,,80101,02,,1870043.68
143426.66,Szkoła Podstawowa Nr 7,10,01,480,0,,001070630,JB,1,,0,125450.00,1400,,125417.31,801,,80101,02,,125417.31
143426.66,Szkoła Podstawowa Nr 7,10,01,605,0,,001070630,JB,1,,0,50000.00,1600,,49999.99,801,,80101,02,,49999.99
143426.66,Szkoła Podstawowa Nr 7,10,01,606,0,,001070630,JB,1,,0,90000.00,1600,,90000.00,801,,80101,02,,90000.00
3422.25,Szkoła Podstawowa Nr 7,10,01,411,0,,001070630,JB,1,,0,31835.00,1400,,30136.12,801,,80107,02,,31119.07
213.96,Szkoła Podstawowa Nr 7,10,01,412,0,,001070630,JB,1,,0,3120.00,1400,,2581.49,801,,80107,02,,2581.49
213.96,Szkoła Podstawowa Nr 7,10,01,444,0,,001070630,JB,1,,0,8710.00,1100,,8710.00,801,,80107,02,,8710.00
