województwo;powiat;gmina;Typ gminy;Kod teryt gminy;RSPO;rodzaj placówki;czy publiczna;Nazwa szkoły;Miejscowość;Ulica nr;język polski liczba zdających;język polski wynik średni (%);język polski odchylenie standardowe (%);język polski mediana (%);język polski modalna (%);matematyka liczba zdających;matematyka wynik średni (%);matematyka odchylenie standardowe (%);matematyka mediana (%);matematyka modalna (%);język angielski liczba zdających;język angielski wynik średni (%);język angielski odchylenie standardowe (%);język angielski mediana (%);język angielski modalna (%);język francuski liczba zdających;język francuski wynik średni (%);język francuski odchylenie standardowe (%);język francuski mediana (%);język francuski modalna (%);język hiszpański liczba zdających;język hiszpański wynik średni (%);język hiszpański odchylenie standardowe (%);język hiszpański mediana (%);język hiszpański modalna (%);język niemiecki liczba zdających;język niemiecki wynik średni (%);język niemiecki odchylenie standardowe (%);język niemiecki mediana (%);język niemiecki modalna (%);język rosyjski liczba zdających;język rosyjski wynik średni (%);język rosyjski odchylenie standardowe (%);język rosyjski mediana (%);język rosyjski modalna (%);język włoski liczba zdających;język włoski wynik średni (%);język włoski odchylenie standardowe (%);język włoski mediana (%);język włoski modalna (%)
Łódzkie;Bełchatowski;Bełchatów;Gmina miejska;1001011;40095;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 8 IM. JANA BRZECHWY Z ODDZIAŁAMI INTEGRACYJNYMI;Bełchatów;os. osiedle Dolnośląskie 112a;105;59;17;62;62;105;55;28;56;24;104;65;29;70;98;;;;;;;;;;;1;;;;;;;;;;;;;;
Łódzkie;Bełchatowski;Bełchatów;Gmina miejska;1001011;46583;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 9 IM. ALINY I CZESŁAWA CENTKIEWICZÓW;Bełchatów;os. osiedle Dolnośląskie 204A;95;61;15;60;60;95;65;27;72;92;95;71;28;84;98;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Bełchatowski;Bełchatów;Gmina miejska;1001011;43853;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 5 IM. ŻOŁNIERZY WOJSKA POLSKIEGO;Bełchatów;ul. Szkolna 10;32;53;20;59;58;32;59;27;64;32;30;76;22;86;87;;;;;;;;;;;1;;;;;;;;;;;;;;
Łódzkie;Bełchatowski;Bełchatów;Gmina miejska;1001011;43849;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 1 IM. STANISŁAWA JACHOWICZA Z ODDZIAŁAMI INTEGRACYJNYMI;Bełchatów;ul. Dąbrowskiego 11;162;62;15;62;56;162;58;27;58;96;162;79;25;89;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Bełchatowski;Bełchatów;Gmina miejska;1001011;43854;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 12 IM. KORNELA MAKUSZYŃSKIEGO;Bełchatów;ul. Witolda Budryka 7;63;63;13;64;67;63;52;26;52;16;63;72;27;80;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Bełchatowski;Bełchatów;Gmina miejska;1001011;43850;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 4 IM. STEFANA ŻEROMSKIEGO;Bełchatów;ul. Lipowa 11;77;52;17;53;58;77;49;29;40;12;77;67;29;76;98;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Bełchatowski;Bełchatów;Gmina miejska;1001011;43851;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 3 IM. ŻOŁNIERZY POW;Bełchatów;ul. Sienkiewicza 25;92;59;18;62;69;92;61;26;64;92;93;73;26;82;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Bełchatowski;Bełchatów;Gmina miejska;1001011;43855;dla młodzieży;Tak;SZKOŁA PODSTAWOWA NR 13 IM. UNICEF Z ODDZIAŁAMI INTEGRACYJNYMI;Bełchatów;ul. Juliusza Słowackiego 8;91;56;18;58;56;91;51;27;48;36;91;67;32;75;100;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Bełchatowski;Bełchatów;Gmina miejska;1001011;124246;dla młodzieży;Nie;NIEPUBLICZNA SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA;Bełchatów;ul. Lipowa 5;30;55;15;56;44;30;76;17;80;88;30;90;12;95;98;;;;;;;;;;;;;;;;;;;;;;;;;
Łódzkie;Bełchatowski;Bełchatów;Gmina wiejska;1001022;262660;dla młodzieży;Tak;SZKOŁA PODSTAWOWA SPECJALNA W ŁĘKAWIE;Łękawa;9;10;33;11;35;40;10;26;14;22;20;9;24;10;24;24;;;;;;;;;;;1;;;;;;;;;;;;;;
