województwo,powiat,gmina,Typ gminy,Kod teryt gminy,RSPO,"rodzaj placówki",czy publiczna,Nazwa szkoły,Miejscowość,Ulica nr,język polski liczba zdających,język polski wynik średni (%),język polski odchylenie standardowe (%),język polski mediana (%),język polski modalna (%),matematyka liczba zdających,matematyka wynik średni (%),matematyka odchylenie standardowe (%),matematyka mediana (%),matematyka modalna (%),język angielski liczba zdających,język angielski wynik średni (%),język angielski odchylenie standardowe (%),język angielski mediana (%),język angielski modalna (%),język francuski liczba zdających,język francuski wynik średni (%),język francuski odchylenie standardowe (%),język francuski mediana (%),język francuski modalna (%),język hiszpański liczba zdających,język hiszpański wynik średni (%),język hiszpański odchylenie standardowe (%),język hiszpański mediana (%),język hiszpański modalna (%),język niemiecki liczba zdających,język niemiecki wynik średni (%),język niemiecki odchylenie standardowe (%),język niemiecki mediana (%),język niemiecki modalna (%),język rosyjski liczba zdających,język rosyjski wynik średni (%),język rosyjski odchylenie standardowe (%),język rosyjski mediana (%),język rosyjski modalna (%),język włoski liczba zdających,język włoski wynik średni (%),język włoski odchylenie standardowe (%),język włoski mediana (%),język włoski modalna (%)
Łódzkie,Bełchatowski,Bełchatów,Gmina miejska,1001011,40095,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 8 IM. JANA BRZECHWY Z ODDZIAŁAMI INTEGRACYJNYMI,Bełchatów,os. osiedle Dolnośląskie 112a,79,63,16,67,67,79,52,30,44,24,79,67,30,82,91,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina miejska,1001011,46583,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 9 IM. ALINY I CZESŁAWA CENTKIEWICZÓW,Bełchatów,os. osiedle Dolnośląskie 204A,93,66,15,69,73,92,54,28,52,96,94,67,25,73,91,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina miejska,1001011,43853,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 5 IM. ŻOŁNIERZY WOJSKA POLSKIEGO,Bełchatów,ul. Szkolna 10,46,64,16,64,64,46,56,27,56,20,46,69,26,78,60,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina miejska,1001011,43849,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 1 IM. STANISŁAWA JACHOWICZA Z ODDZIAŁAMI INTEGRACYJNYMI,Bełchatów,ul. Dąbrowskiego 11,146,70,15,73,76,146,58,27,56,40,145,72,26,84,93,,,,,,,,,,,1,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina miejska,1001011,43854,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 12 IM. KORNELA MAKUSZYŃSKIEGO,Bełchatów,ul. Witolda Budryka 7,84,64,19,67,80,84,51,28,48,28,85,69,25,78,95,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina miejska,1001011,43850,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 4 IM. STEFANA ŻEROMSKIEGO,Bełchatów,ul. Lipowa 11,76,69,17,72,78,76,41,27,34,24,76,58,31,67,96,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina miejska,1001011,43851,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 3 IM. ŻOŁNIERZY POW,Bełchatów,ul. Sienkiewicza 25,101,69,16,73,78,101,57,28,60,24,102,69,26,78,89,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina miejska,1001011,43855,dla młodzieży,Tak,SZKOŁA PODSTAWOWA NR 13 IM. UNICEF Z ODDZIAŁAMI INTEGRACYJNYMI,Bełchatów,ul. Juliusza Słowackiego 8,108,66,16,69,60,108,57,30,60,24,108,69,27,78,98,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina miejska,1001011,124246,dla młodzieży,Nie,NIEPUBLICZNA SZKOŁA PODSTAWOWA IM. JANUSZA KORCZAKA,Bełchatów,ul. Lipowa 5,34,73,9,76,76,34,79,16,84,92,34,86,18,95,95,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina wiejska,1001022,262660,dla młodzieży,Tak,SZKOŁA PODSTAWOWA SPECJALNA W ŁĘKAWIE,Łękawa,9,5,32,17,22,22,5,18,9,16,8,5,29,25,13,13,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina wiejska,1001022,85810,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. GEN. JANUSZA GŁUCHOWSKIEGO W DOBIECINIE,Korczew,37,17,61,20,64,27,17,50,31,44,8,17,53,29,51,31,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina wiejska,1001022,84226,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. MARII KOWNACKIEJ W DOMIECHOWICACH,Domiechowice,80,25,67,11,67,78,25,49,25,48,24,25,61,29,65,58,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina wiejska,1001022,85843,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM. WŁADYSŁAWA SZAFERA W JANOWIE,Janów,1,17,71,10,71,62,17,51,31,48,16,17,59,26,58,29,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina wiejska,1001022,85811,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM.ALFONSA BRANDTA W KURNOSIE DRUGIM,Kurnos Drugi,175,29,57,17,60,62,29,33,23,28,16,29,52,30,44,93,,,,,,,,,,,,,,,,,,,,,,,,,
Łódzkie,Bełchatowski,Bełchatów,Gmina wiejska,1001022,85844,dla młodzieży,Tak,SZKOŁA PODSTAWOWA IM.KOMISJI EDUKACJI NARODOWEJ W ŁĘKAWIE,Łękawa,4,15,68,14,69,56,15,58,26,56,48,15,61,21,58,58,,,,,,,,,,,,,,,,,,,,,,,,,
